
央视频道,#genre#
CCTV1-综合,http:/1.95.63.93/zb/CCTV1.m3u8
CCTV2-财经,http:/1.95.63.93/zb/CCTV2.m3u8
CCTV3-综艺,http:/1.95.63.93/zb/CCTV3.m3u8
CCTV4-中文国际,http:/1.95.63.93/zb/CCTV4.m3u8
CCTV5-体育,http:/1.95.63.93/zb/CCTV5.m3u8
CCTV5＋,http:/1.95.63.93/zb/CCTV5+.m3u8
CCTV6-电影,http:/1.95.63.93/zb/CCTV6.m3u8
CCTV7-国防军事,http:/1.95.63.93/zb/CCTV7.m3u8
CCTV8-电视剧,http:/1.95.63.93/zb/CCTV8.m3u8
CCTV9-纪录,http:/1.95.63.93/zb/CCTV9.m3u8
CCTV10-科教,http:/1.95.63.93/zb/CCTV10.m3u8
CCTV11-戏曲,http:/1.95.63.93/zb/CCTV11.m3u8
CCTV12-社会与法,http:/1.95.63.93/zb/CCTV12.m3u8
CCTV13--新闻,http:/1.95.63.93/zb/CCTV13.m3u8
CCTV14-少儿,http:/1.95.63.93/zb/CCTV14.m3u8
CCTV15-音乐,http:/1.95.63.93/zb/CCTV15.m3u8
CCTV17-农业农村,http:/1.95.63.93/zb/CCTV17.m3u8
CCTV-第一剧场,http:/1.95.63.93/zb/CCTV-DYJC.m3u8
CCTV-怀旧剧场,http:/1.95.63.93/zb/CCTV-HJJC.m3u8
CCTV-风云音乐,http:/1.95.63.93/zb/CCTV-FYYY.m3u8
CCTV-世界地理,http:/1.95.63.93/zb/CCTV-SJDL.m3u8
CCTV-风云剧场,http:/1.95.63.93/zb/CCTV-FYJC.m3u8
CCTV-老故事,http:/1.95.63.93/zb/CCTV-LGS.m3u8
CCTV-中学生,http:/1.95.63.93/zb/CCTV-ZXS.m3u8
CCTV-发现之旅,http:/1.95.63.93/zb/CCTV-FXZL.m3u8
CCTV-书画,http:/1.95.63.93/zb/CCTV-SH.m3u8
CCTV-中国交通频道·贵州,http:/1.95.63.93/zb/CCTV-GZJT.m3u8
CETV-1,http:/1.95.63.93/zb/CETV-1.m3u8
CCTV-天元围棋,http:/1.95.63.93/zb/CCTV-TYWQ.m3u8
CCTV-环球奇观,http:/1.95.63.93/zb/CCTV-HQQG.m3u8
CCTV-汽摩,http:/1.95.63.93/zb/CCTV-QM.m3u8
CCTV-国学频道,http:/1.95.63.93/zb/CCTV-GXPD.m3u8
CCTV1-综合,http:/1.95.63.93/zb1/CCTV1.m3u8
CCTV2-财经,http:/1.95.63.93/zb1/CCTV2.m3u8
CCTV3-综艺,http:/1.95.63.93/zb1/CCTV3.m3u8
CCTV4-中文国际,http:/1.95.63.93/zb1/CCTV4.m3u8
CCTV5-体育,http:/1.95.63.93/zb1/CCTV5.m3u8
CCTV5＋,http:/1.95.63.93/zb1/CCTV5+.m3u8
CCTV6-电影,http:/1.95.63.93/zb1/CCTV6.m3u8
CCTV7-国防军事,http:/1.95.63.93/zb1/CCTV7.m3u8
CCTV8-电视剧,http:/1.95.63.93/zb1/CCTV8.m3u8
CCTV9-纪录,http:/1.95.63.93/zb1/CCTV9.m3u8
CCTV10-科教,http:/1.95.63.93/zb1/CCTV10.m3u8
CCTV11-戏曲,http:/1.95.63.93/zb1/CCTV11.m3u8
CCTV12-社会与法,http:/1.95.63.93/zb1/CCTV12.m3u8
CCTV13--新闻,http:/1.95.63.93/zb1/CCTV13.m3u8
CCTV14-少儿,http:/1.95.63.93/zb1/CCTV14.m3u8
CCTV15-音乐,http:/1.95.63.93/zb1/CCTV15.m3u8
CCTV17-农业农村,http:/1.95.63.93/zb1/CCTV17.m3u8
CCTV-第一剧场,http:/1.95.63.93/zb1/CCTV-DYJC.m3u8
CCTV-怀旧剧场,http:/1.95.63.93/zb1/CCTV-HJJC.m3u8
CCTV-风云音乐,http:/1.95.63.93/zb1/CCTV-FYYY.m3u8
CCTV-世界地理,http:/1.95.63.93/zb1/CCTV-SJDL.m3u8
CCTV-风云剧场,http:/1.95.63.93/zb1/CCTV-FYJC.m3u8
CCTV-老故事,http:/1.95.63.93/zb1/CCTV-LGS.m3u8
CCTV-中学生,http:/1.95.63.93/zb1/CCTV-ZXS.m3u8
CCTV-发现之旅,http:/1.95.63.93/zb1/CCTV-FXZL.m3u8
CCTV-书画,http:/1.95.63.93/zb1/CCTV-SH.m3u8
CCTV-中国交通频道·贵州,http:/1.95.63.93/zb1/CCTV-GZJT.m3u8
CETV-1,http:/1.95.63.93/zb1/CETV-1.m3u8
CCTV-天元围棋,http:/1.95.63.93/zb1/CCTV-TYWQ.m3u8
CCTV-环球奇观,http:/1.95.63.93/zb1/CCTV-HQQG.m3u8
CCTV-汽摩,http:/1.95.63.93/zb1/CCTV-QM.m3u8
CCTV-国学频道,http:/1.95.63.93/zb1/CCTV-GXPD.m3u8
CCTV1-综合,http:/huangfeiyan.top/zb/CCTV1.m3u8
CCTV2-财经,http:/huangfeiyan.top/zb/CCTV2.m3u8
CCTV3-综艺,http:/huangfeiyan.top/zb/CCTV3.m3u8
CCTV4-中文国际,http:/huangfeiyan.top/zb/CCTV4.m3u8
CCTV5-体育,http:/huangfeiyan.top/zb/CCTV5.m3u8
CCTV5＋,http:/huangfeiyan.top/zb/CCTV5+.m3u8
CCTV6-电影,http:/huangfeiyan.top/zb/CCTV6.m3u8
CCTV7-国防军事,http:/huangfeiyan.top/zb/CCTV7.m3u8
CCTV8-电视剧,http:/huangfeiyan.top/zb/CCTV8.m3u8
CCTV9-纪录,http:/huangfeiyan.top/zb/CCTV9.m3u8
CCTV10-科教,http:/huangfeiyan.top/zb/CCTV10.m3u8
