🌼蓝天白云,#genre#


加QQ628383402,https://sp.4n2.cn/?api=xjj



🌼中央电视1,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV1,http://60.6.255.8:2180/live/cctv1/index.m3u8
CCTV1,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV1,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://60.6.255.8:2180/live/cctv2/index.m3u8
CCTV2,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv2
CCTV2,http://222.223.118.222:2180/live/cctv2/index.m3u8
CCTV2,http://183.92.4.163:4000/udp/228.0.0.2:6108
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://60.6.255.8:2180/live/cctv3/index.m3u8
CCTV3,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv3
CCTV3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV3,http://183.92.4.163:4000/udp/228.0.0.156:7156
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.6.255.8:2180/live/cctv4/index.m3u8
CCTV4,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv4
CCTV4,http://222.223.118.222:2180/live/cctv4/index.m3u8
